中分類,メーカー,数量,金額,数量累計,金額累計
11,0002,36,9990,36,9990
11,0011,9,1980,45,11970
11,0013,318,172075,363,184045
11,0018,68,23979,431,208024
11,0019,25,13051,456,221075
11,0023,174,98112,630,319187
11,0034,21,5418,651,324605
11,0038,66,44836,717,369441
11,0039,11,5225,728,374666
11,0048,197,79010,925,453676
11,0052,114,38652,1039,492328
11,0054,10,4962,1049,497290
11,0061,130,55673,1179,552963
11,0062,135,61755,1314,614718
11,0064,16,3456,1330,618174
11,0068,145,98977,1475,717151
11,0076,15,5656,1490,722807
11,0079,76,12198,1566,735005
11,0085,114,33129,1680,768134
11,0090,17,6103,1697,774237
11,0093,8,3896,1705,778133
11,0104,165,57837,1870,835970
11,0107,191,97441,2061,933411
11,0109,152,48986,2213,982397
11,0110,12,4440,2225,986837
11,0112,106,21510,2331,1008347
11,0115,39,16586,2370,1024933
11,0119,15,4395,2385,1029328
11,0121,64,26914,2449,1056242
11,0126,122,39178,2571,1095420
11,0134,75,21820,2646,1117240
11,0136,89,35982,2735,1153222
11,0138,123,53655,2858,1206877
11,0140,131,60379,2989,1267256
11,0143,88,11864,3077,1279120
11,0147,39,16338,3116,1295458
11,0151,188,96141,3304,1391599
11,0152,24,12008,3328,1403607
11,0155,13,4420,3341,1408027
11,0158,105,27813,3446,1435840
11,0171,210,82809,3656,1518649
11,0178,80,32247,3736,1550896
11,0179,37,5895,3773,1556791
11,0188,230,157569,4003,1714360
11,0189,142,71312,4145,1785672
11,0191,261,124641,4406,1910313
11,0192,116,68590,4522,1978903
11,0193,137,56234,4659,2035137
11,0208,69,29161,4728,2064298
11,0218,1,240,4729,2064538
11,0220,33,15075,4762,2079613
11,0226,27,9747,4789,2089360
11,0227,92,53598,4881,2142958
11,0235,71,25020,4952,2167978
11,0244,42,22176,4994,2190154
11,0266,234,113256,5228,2303410
11,0268,52,31464,5280,2334874
11,0282,32,10615,5312,2345489
11,0290,52,22632,5364,2368121
11,0295,89,28494,5453,2396615
11,0299,37,23791,5490,2420406
11,0300,75,41333,5565,2461739
11,0302,126,119811,5691,2581550
11,0312,35,17107,5726,2598657
11,0315,135,83370,5861,2682027
11,0319,132,79999,5993,2762026
11,0321,37,11901,6030,2773927
11,0327,7,4601,6037,2778528
11,0338,117,78841,6154,2857369
11,0341,153,73800,6307,2931169
11,0344,106,42600,6413,2973769
11,0346,196,131581,6609,3105350
11,0353,110,47032,6719,3152382
11,0358,124,49098,6843,3201480
11,0367,47,8861,6890,3210341
11,0370,128,35407,7018,3245748
11,0376,161,69265,7179,3315013
11,0384,12,6396,7191,3321409
11,0393,75,45924,7266,3367333
11,0401,10,3610,7276,3370943
11,0405,135,53293,7411,3424236
11,0407,189,94272,7600,3518508
11,0412,79,36669,7679,3555177
11,0415,4,1768,7683,3556945
11,0420,58,29737,7741,3586682
11,0433,9,5499,7750,3592181
11,0438,213,151670,7963,3743851
11,0442,174,104785,8137,3848636
11,0449,44,14744,8181,3863380
11,0454,12,4809,8193,3868189
11,0456,30,14640,8223,3882829
11,0463,217,58848,8440,3941677
11,0465,164,47871,8604,3989548
11,0471,104,61521,8708,4051069
11,0472,56,34039,8764,4085108
11,0473,83,35665,8847,4120773
11,0477,69,15094,8916,4135867
11,0480,8,5088,8924,4140955
11,0482,135,109345,9059,4250300
11,0484,16,5769,9075,4256069
11,0485,110,19413,9185,4275482
11,0494,39,12831,9224,4288313
11,0501,167,96177,9391,4384490
11,0506,185,80846,9576,4465336
11,0508,245,68312,9821,4533648
11,0522,131,50030,9952,4583678
11,0523,166,96630,10118,4680308
11,0524,24,7896,10142,4688204
11,0530,21,3612,10163,4691816
11,0533,56,17766,10219,4709582
11,0542,160,146565,10379,4856147
11,0544,20,4695,10399,4860842
11,0545,86,14806,10485,4875648
11,0547,75,25263,10560,4900911
11,0550,134,80729,10694,4981640
11,0552,31,15651,10725,4997291
11,0554,45,11637,10770,5008928
11,0565,83,26381,10853,5035309
11,0566,20,7620,10873,5042929
11,0567,104,57688,10977,5100617
11,0569,120,85694,11097,5186311
11,0572,15,7057,11112,5193368
11,0581,12,5640,11124,5199008
11,0591,55,27833,11179,5226841
11,0594,9,6354,11188,5233195
11,0596,34,11775,11222,5244970
11,0605,129,44523,11351,5289493
11,0610,36,17208,11387,5306701
11,0612,21,14154,11408,5320855
11,0616,148,89144,11556,5409999
11,0617,86,17262,11642,5427261
11,0621,105,58252,11747,5485513
11,0623,104,57368,11851,5542881
11,0649,116,70990,11967,5613871
11,0663,144,45973,12111,5659844
11,0674,34,5814,12145,5665658
11,0678,117,48526,12262,5714184
11,0679,175,79688,12437,5793872
11,0686,4,1328,12441,5795200
11,0690,149,125563,12590,5920763
11,0701,156,71936,12746,5992699
11,0712,13,4719,12759,5997418
11,0713,205,107899,12964,6105317
11,0716,6,3552,12970,6108869
11,0717,115,35319,13085,6144188
11,0725,116,20823,13201,6165011
11,0728,194,225163,13395,6390174
11,0729,82,30154,13477,6420328
11,0735,8,3072,13485,6423400
11,0736,118,54043,13603,6477443
11,0742,33,6342,13636,6483785
11,0744,92,46878,13728,6530663
11,0745,176,65892,13904,6596555
11,0751,201,67645,14105,6664200
11,0752,39,14399,14144,6678599
11,0764,5,2210,14149,6680809
11,0777,54,26384,14203,6707193
11,0779,18,3384,14221,6710577
11,0780,9,2979,14230,6713556
11,0781,122,42392,14352,6755948
11,0786,15,7065,14367,6763013
11,0789,8,2752,14375,6765765
11,0796,5,2940,14380,6768705
11,0799,100,52552,14480,6821257
11,0802,50,24033,14530,6845290
11,0804,37,17994,14567,6863284
11,0807,128,24105,14695,6887389
11,0823,55,33657,14750,6921046
11,0824,25,6423,14775,6927469
11,0828,16,6064,14791,6933533
11,0835,4,1472,14795,6935005
11,0836,4,796,14799,6935801
11,0844,263,134185,15062,7069986
11,0854,36,7596,15098,7077582
11,0869,112,30466,15210,7108048
11,0870,52,32850,15262,7140898
11,0871,16,7341,15278,7148239
11,0875,18,8262,15296,7156501
11,0876,101,49574,15397,7206075
11,0901,62,18143,15459,7224218
11,0904,54,24087,15513,7248305
11,0907,10,3180,15523,7251485
11,0909,26,11940,15549,7263425
11,0915,2,996,15551,7264421
11,0928,25,5232,15576,7269653
11,0929,129,81266,15705,7350919
11,0931,117,53119,15822,7404038
11,0932,2,516,15824,7404554
11,0938,19,7908,15843,7412462
11,0939,147,45768,15990,7458230
11,0942,9,5679,15999,7463909
11,0951,25,10900,16024,7474809
11,0952,39,14508,16063,7489317
11,0956,92,17314,16155,7506631
11,0960,51,16575,16206,7523206
11,0969,80,49738,16286,7572944
11,0977,39,15122,16325,7588066
11,0984,4,1444,16329,7589510
11,0996,36,12588,16365,7602098
11,0997,4,1884,16369,7603982
11,1001,85,55134,16454,7659116
11,1006,123,46127,16577,7705243
11,1007,149,48275,16726,7753518
11,1012,29,9377,16755,7762895
11,1013,152,79647,16907,7842542
11,1015,22,5434,16929,7847976
11,1021,252,65557,17181,7913533
11,1024,1,268,17182,7913801
11,1032,145,68083,17327,7981884
11,1034,11,2475,17338,7984359
11,1035,13,4719,17351,7989078
11,1053,79,37663,17430,8026741
11,1057,110,60108,17540,8086849
11,1060,16,5376,17556,8092225
11,1067,110,48408,17666,8140633
11,1077,20,7138,17686,8147771
11,1080,153,56191,17839,8203962
11,1083,227,118323,18066,8322285
11,1090,91,39823,18157,8362108
11,1100,44,15614,18201,8377722
11,1107,107,37951,18308,8415673
11,1108,16,8352,18324,8424025
11,1110,86,34483,18410,8458508
11,1113,37,9322,18447,8467830
11,1117,200,86347,18647,8554177
11,1124,187,73462,18834,8627639
11,1126,22,4958,18856,8632597
11,1133,133,67016,18989,8699613
11,1136,25,6125,19014,8705738
11,1139,14,5488,19028,8711226
11,1145,155,59802,19183,8771028
11,1148,132,64251,19315,8835279
11,1151,55,35938,19370,8871217
11,1154,40,16116,19410,8887333
11,1158,46,10787,19456,8898120
11,1160,18,8244,19474,8906364
11,1161,9,4851,19483,8911215
11,1170,58,26390,19541,8937605
11,1172,4,2332,19545,8939937
11,1175,125,48065,19670,8988002
11,1188,12,6216,19682,8994218
11,1193,213,102004,19895,9096222
11,1198,152,80227,20047,9176449
11,1203,46,24674,20093,9201123
11,1207,162,83152,20255,9284275
11,1215,37,20862,20292,9305137
11,1216,139,49685,20431,9354822
11,1221,162,68971,20593,9423793
11,1223,75,34123,20668,9457916
11,1226,145,84658,20813,9542574
11,1229,103,58333,20916,9600907
11,1238,88,9503,21004,9610410
11,1241,18,3852,21022,9614262
11,1258,205,111843,21227,9726105
11,1259,10,4220,21237,9730325
11,1260,72,44208,21309,9774533
11,1261,185,63294,21494,9837827
11,1263,157,54245,21651,9892072
11,1273,55,25168,21706,9917240
11,1274,40,19040,21746,9936280
11,1285,147,96675,21893,10032955
11,1287,129,47017,22022,10079972
11,1296,78,27306,22100,10107278
11,1298,120,55124,22220,10162402
11,1315,101,30503,22321,10192905
11,1318,15,7920,22336,10200825
11,1319,87,20159,22423,10220984
11,1322,194,113376,22617,10334360
11,1325,4,1624,22621,10335984
11,1327,182,60059,22803,10396043
11,1334,118,22533,22921,10418576
11,1336,128,54994,23049,10473570
11,1339,11,3806,23060,10477376
11,1340,138,93288,23198,10570664
11,1341,140,24658,23338,10595322
11,1347,41,15641,23379,10610963
11,1353,68,26495,23447,10637458
11,1361,104,40565,23551,10678023
11,1364,155,71521,23706,10749544
11,1369,89,44822,23795,10794366
11,1378,213,69555,24008,10863921
11,1400,119,68955,24127,10932876
11,1403,15,10896,24142,10943772
11,1404,30,14715,24172,10958487
11,1405,145,68349,24317,11026836
11,1409,44,16804,24361,11043640
11,1410,14,5698,24375,11049338
11,1414,8,832,24383,11050170
11,1415,72,24720,24455,11074890
11,1417,125,42678,24580,11117568
11,1424,24,9552,24604,11127120
11,1429,12,4620,24616,11131740
11,1430,47,16262,24663,11148002
11,1431,90,40388,24753,11188390
11,1433,38,12646,24791,11201036
11,1440,85,47791,24876,11248827
11,1441,26,10321,24902,11259148
11,1444,164,65188,25066,11324336
11,1463,111,93510,25177,11417846
11,1466,28,5251,25205,11423097
11,1471,52,13538,25257,11436635
11,1477,87,57348,25344,11493983
11,1478,33,14798,25377,11508781
11,1480,91,40723,25468,11549504
11,1484,161,54249,25629,11603753
11,1487,153,96618,25782,11700371
11,1489,25,15125,25807,11715496
11,1492,35,9695,25842,11725191
11,1496,205,140847,26047,11866038
11,1508,32,22870,26079,11888908
11,1509,16,8234,26095,11897142
11,1510,61,25912,26156,11923054
11,1515,19,7506,26175,11930560
11,1516,65,20276,26240,11950836
11,1517,4,1672,26244,11952508
11,1523,80,37997,26324,11990505
11,1527,89,40037,26413,12030542
11,1546,12,3980,26425,12034522
11,1547,11,4433,26436,12038955
11,1548,102,32455,26538,12071410
11,1556,195,92754,26733,12164164
11,1558,138,42521,26871,12206685
11,1565,133,78384,27004,12285069
11,1566,77,31129,27081,12316198
11,1568,103,57858,27184,12374056
11,1570,43,19935,27227,12393991
11,1571,39,14933,27266,12408924
11,1574,139,71219,27405,12480143
11,1578,87,40275,27492,12520418
11,1579,66,31095,27558,12551513
11,1586,26,11636,27584,12563149
11,1624,87,52410,27671,12615559
11,1628,2,848,27673,12616407
11,1631,33,16014,27706,12632421
11,1644,87,50681,27793,12683102
11,1646,135,56116,27928,12739218
11,1649,171,107087,28099,12846305
11,1651,23,7544,28122,12853849
11,1653,15,6990,28137,12860839
11,1656,37,19869,28174,12880708
11,1658,7,3297,28181,12884005
11,1659,198,88111,28379,12972116
11,1662,55,25936,28434,12998052
11,1668,127,38999,28561,13037051
11,1669,100,51576,28661,13088627
11,1682,12,6264,28673,13094891
11,1684,39,18710,28712,13113601
11,1705,330,162828,29042,13276429
11,1715,32,12348,29074,13288777
11,1716,74,31716,29148,13320493
11,1720,125,48743,29273,13369236
11,1725,78,42685,29351,13411921
11,1729,21,8653,29372,13420574
11,1735,87,26458,29459,13447032
11,1736,124,41406,29583,13488438
11,1739,18,3456,29601,13491894
11,1755,137,61751,29738,13553645
11,1760,16,8832,29754,13562477
11,1763,147,41941,29901,13604418
11,1765,120,31995,30021,13636413
11,1770,53,25175,30074,13661588
11,1771,130,48432,30204,13710020
11,1772,75,43988,30279,13754008
11,1776,136,71587,30415,13825595
11,1789,55,34830,30470,13860425
11,1801,65,44576,30535,13905001
11,1808,8,3480,30543,13908481
11,1811,42,15198,30585,13923679
11,1812,119,36131,30704,13959810
11,1816,55,9065,30759,13968875
11,1819,9,3762,30768,13972637
11,1820,34,16014,30802,13988651
11,1826,10,2640,30812,13991291
11,1835,40,10440,30852,14001731
11,1844,149,42446,31001,14044177
11,1850,69,12967,31070,14057144
11,1853,133,43874,31203,14101018
11,1854,121,49527,31324,14150545
11,1860,12,3156,31336,14153701
11,1862,196,90877,31532,14244578
11,1869,20,9360,31552,14253938
11,1880,106,27831,31658,14281769
11,1883,89,38738,31747,14320507
11,1884,42,15490,31789,14335997
11,1886,52,8616,31841,14344613
11,1889,254,195267,32095,14539880
11,1895,57,33180,32152,14573060
11,1896,184,28704,32336,14601764
11,1898,8,3416,32344,14605180
11,1902,218,104645,32562,14709825
11,1908,140,53427,32702,14763252
11,1913,71,25702,32773,14788954
11,1915,9,3717,32782,14792671
11,1918,9,3600,32791,14796271
11,1919,255,203362,33046,14999633
11,1924,22,9590,33068,15009223
11,1942,118,48250,33186,15057473
11,1943,132,93286,33318,15150759
11,1955,141,87729,33459,15238488
11,1974,55,22886,33514,15261374
11,1991,50,16509,33564,15277883
11,1994,84,44514,33648,15322397
11,1995,9,2844,33657,15325241
12,0293,80,31955,80,31955
12,0316,16,5568,96,37523
12,0573,34,19890,130,57413
12,0828,13,6903,143,64316
12,1416,10,4495,153,68811
12,1483,49,17815,202,86626
12,1725,141,65328,343,151954
12,1878,80,51847,423,203801
13,0000,4,1248,4,1248
13,0025,106,50153,110,51401
13,0026,48,17272,158,68673
13,0054,168,85587,326,154260
13,0104,74,17612,400,171872
13,0120,112,64206,512,236078
13,0165,8,4816,520,240894
13,0174,13,3068,533,243962
13,0207,67,49218,600,293180
13,0231,6,1182,606,294362
13,0244,8,4424,614,298786
13,0285,33,14355,647,313141
13,0287,9,1611,656,314752
13,0303,24,10440,680,325192
13,0320,68,38580,748,363772
13,0340,65,31771,813,395543
13,0386,200,79104,1013,474647
13,0388,30,15150,1043,489797
13,0394,99,45764,1142,535561
13,0416,87,40865,1229,576426
13,0471,142,78186,1371,654612
13,0518,111,73168,1482,727780
13,0536,148,71611,1630,799391
13,0546,31,13219,1661,812610
13,0561,47,35807,1708,848417
13,0578,146,91619,1854,940036
13,0586,69,28246,1923,968282
13,0594,35,20167,1958,988449
13,0596,116,60079,2074,1048528
13,0606,106,34575,2180,1083103
13,0621,23,5474,2203,1088577
13,0712,101,52097,2304,1140674
13,0773,25,6900,2329,1147574
13,0779,64,17577,2393,1165151
13,0793,49,37338,2442,1202489
13,0811,9,2988,2451,1205477
13,0836,9,5652,2460,1211129
13,0854,117,44028,2577,1255157
13,0887,144,80046,2721,1335203
13,0967,4,1272,2725,1336475
13,0971,119,38610,2844,1375085
13,0976,12,5796,2856,1380881
13,0979,12,3708,2868,1384589
13,1017,183,78594,3051,1463183
13,1033,140,68721,3191,1531904
13,1056,72,12755,3263,1544659
13,1115,70,20908,3333,1565567
13,1137,109,63247,3442,1628814
13,1157,14,6888,3456,1635702
13,1195,26,10816,3482,1646518
13,1202,9,4167,3491,1650685
13,1226,36,11892,3527,1662577
13,1230,71,36939,3598,1699516
13,1248,87,28933,3685,1728449
13,1293,110,32776,3795,1761225
13,1301,105,70748,3900,1831973
13,1310,146,90847,4046,1922820
13,1380,38,20426,4084,1943246
13,1382,66,46666,4150,1989912
13,1427,81,19569,4231,2009481
13,1454,38,14592,4269,2024073
13,1468,127,59086,4396,2083159
13,1482,86,24155,4482,2107314
13,1492,141,67440,4623,2174754
13,1537,98,50078,4721,2224832
13,1677,141,64804,4862,2289636
13,1686,61,39011,4923,2328647
13,1689,39,8369,4962,2337016
13,1690,10,5270,4972,2342286
13,1747,8,4552,4980,2346838
13,1749,12,5040,4992,2351878
13,1772,98,57395,5090,2409273
13,1776,8,4418,5098,2413691
13,1781,51,17668,5149,2431359
13,1839,92,52479,5241,2483838
13,1844,14,8400,5255,2492238
13,1886,183,114677,5438,2606915
13,1893,76,36942,5514,2643857
13,1921,26,8840,5540,2652697
13,1950,100,60937,5640,2713634
14,0024,21,10731,21,10731
14,0080,49,14988,70,25719
14,0094,167,83512,237,109231
14,0096,27,12714,264,121945
14,0099,85,36727,349,158672
14,0108,175,91065,524,249737
14,0125,30,4860,554,254597
14,0129,129,32535,683,287132
14,0147,100,44661,783,331793
14,0153,106,38467,889,370260
14,0164,47,28347,936,398607
14,0175,222,84737,1158,483344
14,0189,61,26596,1219,509940
14,0194,21,6972,1240,516912
14,0198,47,20979,1287,537891
14,0203,49,30211,1336,568102
14,0227,140,78060,1476,646162
14,0255,68,31785,1544,677947
14,0263,122,40614,1666,718561
14,0266,39,4596,1705,723157
14,0302,93,43189,1798,766346
14,0308,10,5760,1808,772106
14,0318,19,6821,1827,778927
14,0335,16,7376,1843,786303
14,0338,62,15449,1905,801752
14,0361,158,84409,2063,886161
14,0369,153,63345,2216,949506
14,0371,131,56298,2347,1005804
14,0399,16,7472,2363,1013276
14,0405,157,83089,2520,1096365
14,0418,28,17160,2548,1113525
14,0423,192,75144,2740,1188669
14,0427,12,4404,2752,1193073
14,0549,62,35772,2814,1228845
14,0550,76,27892,2890,1256737
14,0556,219,112219,3109,1368956
14,0570,103,56154,3212,1425110
14,0585,134,77063,3346,1502173
14,0590,194,117962,3540,1620135
14,0597,204,37118,3744,1657253
14,0598,2,706,3746,1657959
14,0604,103,55345,3849,1713304
14,0614,87,36215,3936,1749519
14,0617,58,23311,3994,1772830
14,0670,21,10332,4015,1783162
14,0675,27,13058,4042,1796220
14,0678,85,63748,4127,1859968
14,0691,12,5844,4139,1865812
14,0694,171,70448,4310,1936260
14,0707,160,134154,4470,2070414
14,0714,50,13738,4520,2084152
14,0749,85,43132,4605,2127284
14,0750,29,10005,4634,2137289
14,0760,27,6318,4661,2143607
14,0769,133,36305,4794,2179912
14,0773,92,44136,4886,2224048
14,0779,38,18838,4924,2242886
14,0788,78,29371,5002,2272257
14,0813,9,4752,5011,2277009
14,0824,17,5835,5028,2282844
14,0846,32,7698,5060,2290542
14,0856,133,65485,5193,2356027
14,0891,16,6064,5209,2362091
14,0894,108,67431,5317,2429522
14,0898,30,15690,5347,2445212
14,0910,62,34431,5409,2479643
14,0918,136,107378,5545,2587021
14,0921,22,14115,5567,2601136
14,0934,75,8871,5642,2610007
14,0939,63,24039,5705,2634046
14,0949,92,39816,5797,2673862
14,0960,33,9288,5830,2683150
14,0983,125,60504,5955,2743654
14,1038,16,5796,5971,2749450
14,1043,37,25467,6008,2774917
14,1053,152,102618,6160,2877535
14,1068,28,14874,6188,2892409
14,1092,28,12504,6216,2904913
14,1100,223,81331,6439,2986244
14,1143,133,71094,6572,3057338
14,1148,114,47235,6686,3104573
14,1151,65,15316,6751,3119889
14,1176,24,14040,6775,3133929
14,1196,55,25900,6830,3159829
14,1213,6,2730,6836,3162559
14,1215,221,130284,7057,3292843
14,1290,22,7941,7079,3300784
14,1291,152,65443,7231,3366227
14,1318,10,3310,7241,3369537
14,1327,16,5936,7257,3375473
14,1336,55,17698,7312,3393171
14,1354,4,1640,7316,3394811
14,1376,155,62290,7471,3457101
14,1383,131,76248,7602,3533349
14,1393,6,2148,7608,3535497
14,1414,29,7598,7637,3543095
14,1421,144,94907,7781,3638002
14,1435,52,15733,7833,3653735
14,1454,12,6792,7845,3660527
14,1472,16,5808,7861,3666335
14,1475,23,10419,7884,3676754
14,1489,175,110642,8059,3787396
14,1492,12,6858,8071,3794254
14,1501,104,29704,8175,3823958
14,1505,53,24433,8228,3848391
14,1515,50,23400,8278,3871791
14,1518,9,2340,8287,3874131
14,1525,82,22242,8369,3896373
14,1551,47,25536,8416,3921909
14,1570,148,53442,8564,3975351
14,1595,57,36519,8621,4011870
14,1610,155,56479,8776,4068349
14,1613,78,43884,8854,4112233
14,1632,58,17116,8912,4129349
14,1633,100,77094,9012,4206443
14,1634,34,14246,9046,4220689
14,1639,103,66444,9149,4287133
14,1674,201,84344,9350,4371477
14,1689,7,1169,9357,4372646
14,1714,176,96935,9533,4469581
14,1717,92,57368,9625,4526949
14,1730,104,27182,9729,4554131
14,1734,23,5934,9752,4560065
14,1747,36,11117,9788,4571182
14,1788,93,47886,9881,4619068
14,1789,108,44664,9989,4663732
14,1799,116,62908,10105,4726640
14,1804,133,41284,10238,4767924
14,1817,65,7897,10303,4775821
14,1818,25,7976,10328,4783797
14,1875,82,40530,10410,4824327
14,1894,75,29737,10485,4854064
14,1903,121,17257,10606,4871321
14,1916,20,2800,10626,4874121
14,1925,129,28557,10755,4902678
14,1941,40,10151,10795,4912829
14,1944,11,4422,10806,4917251
14,1953,81,38727,10887,4955978
14,1962,1,333,10888,4956311
14,1974,68,24582,10956,4980893
14,1987,163,50426,11119,5031319
